PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,LOCATION_NAME
T2M,1984,10.25,75.25,27.18,27.73,27.91,28.69,28.9,27.39,26.42,26.23,26.35,26.34,27.42,27.26,27.32,
T2M,1984,10.25,75.75,27.19,27.74,28.05,28.47,28.68,26.92,25.93,25.72,25.91,26.0,27.11,27.0,27.06,
T2M,1984,10.25,76.25,26.85,27.39,28.21,27.92,28.12,25.8,24.94,25.0,25.18,25.02,26.12,26.09,26.38,"Puthenchira, Mukundapuram, Thrissur, Kerala, 680682, India"
T2M,1984,10.25,76.75,22.94,23.63,25.25,25.7,26.02,22.94,22.24,22.6,23.01,22.28,22.75,22.03,23.45,"Kothamangalam, Ernakulam, Kerala, India"
T2M,1984,10.25,77.25,21.49,22.27,24.26,25.66,26.72,23.08,22.5,23.06,23.54,22.15,22.04,21.39,23.18,"Devikulam, Idukki, Kerala, India"
T2M,1984,10.25,77.75,21.85,22.66,24.74,26.77,28.63,25.18,24.54,25.3,25.44,23.58,23.01,22.33,24.5,"Athoor, Dindigul, Tamil Nadu, 624204, India"
T2M,1984,10.25,78.25,23.04,23.81,25.85,28.02,30.35,27.84,26.89,27.85,27.36,25.31,24.48,23.52,26.2,"Old NH 785, Natham, Dindigul, Tamil Nadu, 624400, India"
T2M,1984,10.25,78.75,23.75,24.46,26.4,28.41,30.69,29.23,27.82,28.86,27.94,25.85,25.09,24.15,26.89,"Trichy - Ramanathapuram Road (Old NH210), Tirumayam, Thirumayam taluk, Pudukkottai, Tamil Nadu, 622507, India"
T2M,1984,10.25,79.25,24.53,24.99,26.96,28.85,30.46,29.7,28.18,29.13,28.18,26.62,25.85,24.74,27.36,"Nayakkathivayal, Regunayagipuram, Peravurani, Thanjavur, Tamil Nadu, 614802, India"
T2M,1984,10.75,75.25,27.28,27.99,28.11,28.68,28.83,27.3,26.36,26.02,26.1,26.26,27.44,27.22,27.3,
T2M,1984,10.75,75.75,27.06,27.86,28.14,28.18,28.38,26.49,25.58,25.32,25.46,25.59,26.79,26.58,26.78,India
T2M,1984,10.75,76.25,25.59,26.5,27.49,27.13,27.34,24.71,23.94,24.05,24.23,23.96,24.79,24.52,25.35,"Shoranur, Ottappalam, Palakkad, Kerala, 679121, India"
T2M,1984,10.75,76.75,23.1,24.03,25.73,26.48,26.91,23.51,22.81,23.19,23.65,22.51,22.87,22.32,23.92,"Elappully, Palakkad, Kerala, 678622, India"
T2M,1984,10.75,77.25,22.64,23.57,25.53,27.37,28.69,24.74,24.08,24.71,25.03,23.26,23.14,22.44,24.6,"Madathukulam, Tiruppur, Tamil Nadu, India"
T2M,1984,10.75,77.75,22.83,23.76,25.84,28.33,30.46,26.64,25.8,26.61,26.53,24.43,23.93,23.1,25.69,"Kilankundal, Dharapuram, Tiruppur, Tamil Nadu, 638106, India"
T2M,1984,10.75,78.25,23.06,23.97,26.12,28.75,31.27,28.26,27.02,27.92,27.35,25.17,24.43,23.48,26.4,"Ammapatti, Mamarathupatti, Kadavur, Karur, Tamil Nadu, 621301, India"
T2M,1984,10.75,78.75,23.44,24.29,26.39,28.9,31.48,29.36,27.75,28.75,27.76,25.52,24.71,23.76,26.85,"Cholamanagar, Thiruverumbur, Tiruchirappalli, Tamil Nadu, 620007, India"
T2M,1984,10.75,79.25,24.04,24.64,26.72,29.2,31.3,30.08,28.35,29.27,28.08,26.17,25.3,24.23,27.29,"Melakorukkapattu, Raramuthirakkottai, Papanasam, Thanjavur, Tamil Nadu, 614504, India"
T2M,1984,10.75,79.75,24.88,25.18,27.01,29.1,30.45,29.86,28.39,29.1,28.1,26.96,26.2,25.04,27.53,"Kilvelur, Nagapattinam, Tamil Nadu, 611104, India"
T2M,1984,11.25,75.25,27.09,28.0,28.18,28.48,28.56,26.89,26.02,25.65,25.67,25.98,27.16,26.94,27.05,
T2M,1984,11.25,75.75,26.31,27.42,27.73,27.45,27.64,25.46,24.65,24.45,24.59,24.71,25.85,25.58,25.98,"Nadakkave, Kozhikode, Kerala, 673006, India"
T2M,1984,11.25,76.25,23.6,24.88,25.79,25.71,25.96,22.94,22.28,22.43,22.72,22.38,22.94,22.42,23.67,"Nilambur, Malappuram, Kerala, 679329, India"
T2M,1984,11.25,76.75,22.2,23.31,24.75,26.04,26.7,22.93,22.37,22.79,23.28,21.88,22.08,21.54,23.32,"Athikadavu, Mettupalayam, Coimbatore, Tamil Nadu, India"
T2M,1984,11.25,77.25,22.7,23.72,25.4,27.75,29.34,25.26,24.61,25.37,25.47,23.29,23.14,22.44,24.88,"Sevur, Avanashi, Tiruppur, Tamil Nadu, India"
T2M,1984,11.25,77.75,23.12,24.11,26.0,28.93,31.28,27.35,26.38,27.33,26.96,24.48,24.05,23.2,26.1,"Kulur, Modakkurichi, Erode, Tamil Nadu, 638104, India"
T2M,1984,11.25,78.25,22.9,23.89,25.96,29.02,31.7,28.33,26.88,27.89,27.18,24.76,24.11,23.2,26.32,"Thottiyar Street, Puthukombai, Sendamangalam, Namakkal, Tamil Nadu, 637409, India"
T2M,1984,11.25,78.75,22.96,23.87,25.89,28.84,31.58,28.96,27.23,28.37,27.3,24.93,24.03,23.09,26.42,"Ladapuram, Perambalur, Tamil Nadu, 621101, India"
T2M,1984,11.25,79.25,23.81,24.44,26.35,29.36,31.91,30.24,28.26,29.22,27.93,25.92,24.9,23.84,27.19,"Rajapalayam, Veerakkan, Sendurai, Ariyalur, Tamil Nadu, 621710, India"
T2M,1984,11.25,79.75,24.78,25.09,26.78,29.22,30.88,30.09,28.46,29.12,28.08,26.83,25.96,24.8,27.51,"Sirkali - Thirumullaivasal - Koolaiyar Road, Idaimanal, Sirkali, Mayiladuthurai, Tamil Nadu, 609115, India"
T2M,1984,11.75,75.25,26.41,27.56,27.85,27.98,28.07,26.05,25.24,25.0,25.02,25.3,26.33,26.11,26.41,India
T2M,1984,11.75,75.75,24.88,26.3,26.77,26.5,26.8,24.04,23.32,23.28,23.5,23.45,24.26,23.91,24.74,"Vadakara, Kozhikode, Kerala, 673515, India"
T2M,1984,11.75,76.25,22.35,23.92,24.79,25.15,25.58,21.92,21.29,21.44,21.86,21.45,21.75,21.17,22.71,"Sulthanbathery, Wayanad, Kerala, India"
T2M,1984,11.75,76.75,21.79,22.99,24.09,25.78,26.69,22.4,21.9,22.33,22.87,21.46,21.58,21.04,22.91,"Kodasoge, Gundlupet taluk, Chamarajanagar, Karnataka, India"
T2M,1984,11.75,77.25,22.11,23.12,24.52,27.19,28.75,24.51,23.9,24.57,24.65,22.53,22.33,21.67,24.16,"Thalavadi, Erode, Tamil Nadu, 638461, India"
T2M,1984,11.75,77.75,22.37,23.35,25.06,28.3,30.49,26.54,25.54,26.36,25.97,23.55,23.05,22.24,25.24,"Mettur, Salem, Tamil Nadu, India"
T2M,1984,11.75,78.25,22.36,23.34,25.29,28.73,31.32,27.77,26.27,27.17,26.49,24.11,23.32,22.44,25.72,"Yercaud, Salem, Tamil Nadu, 636600, India"
T2M,1984,11.75,78.75,22.52,23.4,25.35,28.74,31.3,28.5,26.74,27.84,26.76,24.45,23.33,22.46,25.95,"Sankarapuram, Kallakurichi, Tamil Nadu, India"
T2M,1984,11.75,79.25,23.6,24.23,25.98,29.45,32.11,30.25,28.12,29.05,27.79,25.82,24.55,23.5,27.05,"Ulundurpettai, Kallakurichi, Tamil Nadu, 606107, India"
T2M,1984,11.75,79.75,24.66,24.99,26.5,29.25,31.07,30.24,28.45,29.03,28.07,26.8,25.73,24.54,27.45,"Bodi Chetti Street, Thiruppapuliyur, Cuddalore, Tamil Nadu, 607002, India"
T2M,1984,12.25,75.25,25.57,27.03,27.42,27.48,27.75,25.1,24.27,24.22,24.32,24.43,25.28,25.06,25.66,"Hosdurg, Kasaragod, Kerala, India"
T2M,1984,12.25,75.75,23.44,25.18,25.78,25.83,26.37,22.82,22.09,22.21,22.54,22.32,22.77,22.34,23.64,"Bellumadu, Virajpet taluk, Kodagu, Karnataka, India"
T2M,1984,12.25,76.25,21.99,23.78,24.53,25.44,26.19,21.84,21.11,21.29,21.74,21.31,21.42,20.9,22.62,"Lakshmipura, Hunasuru taluk, Mysuru, Karnataka, India"
T2M,1984,12.25,76.75,22.39,23.69,24.49,26.53,27.65,22.86,22.27,22.65,23.22,21.85,21.96,21.43,23.41,"SH84A, Maradihundi, Hosakote Mole, Mysuru taluk, Mysuru, Karnataka, 571302, India"
T2M,1984,12.25,77.25,22.15,23.15,24.32,27.28,28.62,24.07,23.42,23.94,24.15,22.26,22.09,21.43,23.9,"Hanur taluk, Chamarajanagar, Karnataka, India"
T2M,1984,12.25,77.75,21.84,22.73,24.28,27.84,29.56,25.37,24.43,25.04,24.88,22.75,22.24,21.43,24.37,"Natrampalayam, Anchetty, Krishnagiri, Tamil Nadu, India"
T2M,1984,12.25,78.25,21.85,22.72,24.52,28.35,30.53,26.73,25.36,26.07,25.62,23.4,22.6,21.7,24.96,"Karimangalam, Dharmapuri, Tamil Nadu, India"
T2M,1984,12.25,78.75,22.37,23.22,25.11,28.93,31.14,28.15,26.46,27.36,26.48,24.2,23.06,22.19,25.73,"Chengam, Tiruvannamalai, Tamil Nadu, 606703, India"
T2M,1984,12.25,79.25,23.21,23.91,25.55,29.51,32.08,29.99,27.87,28.75,27.64,25.51,24.15,22.97,26.77,"Gingee, Viluppuram, Tamil Nadu, India"
T2M,1984,12.25,79.75,24.3,24.73,26.14,29.33,31.25,30.31,28.36,28.97,28.08,26.54,25.35,24.01,27.28,"Tindivanam, Viluppuram, Tamil Nadu, 604305, India"
T2M,1984,12.75,75.25,24.91,26.71,27.23,27.39,27.91,24.57,23.64,23.66,23.88,23.91,24.56,24.3,25.22,"Putturu taluk, Dakshina Kannada, Karnataka, 574200, India"
T2M,1984,12.75,75.75,22.46,24.45,25.21,25.75,26.56,22.33,21.5,21.64,22.04,21.8,21.96,21.4,23.09,"Maragatturu, Sakaleshapura taluk, Hassan, Karnataka, 573123, India"
T2M,1984,12.75,76.25,21.78,23.67,24.3,25.73,26.81,21.93,21.1,21.28,21.72,21.31,21.31,20.75,22.64,"Mallenahalli, Hole Narasipura taluk, Hassan, Karnataka, India"
T2M,1984,12.75,76.75,22.64,23.98,24.57,27.02,28.23,23.18,22.5,22.84,23.35,22.03,22.07,21.54,23.66,"Chagatahalli, Mannahalli, Nagamangala taluk, Mandya, Karnataka, 571416, India"
T2M,1984,12.75,77.25,22.24,23.22,24.21,27.42,28.58,23.81,23.12,23.61,23.87,22.1,21.94,21.26,23.78,"Kurubarahalli, Ramanagara taluk, Ramanagara, Karnataka, 562159, India"
T2M,1984,12.75,77.75,21.58,22.36,23.77,27.54,28.88,24.46,23.58,24.17,24.14,22.15,21.72,20.86,23.77,"Mayasandra, Anekal, Bengaluru Urban, Karnataka, 562107, India"
T2M,1984,12.75,78.25,21.4,22.12,23.8,27.88,29.63,25.62,24.39,25.06,24.77,22.64,21.92,20.96,24.18,"Peddaparthikunta, Gudipalli, Chittoor, Andhra Pradesh, 517425, India"
T2M,1984,12.75,78.75,22.17,23.0,24.84,28.88,30.81,27.6,26.01,26.83,26.14,23.76,22.78,21.81,25.39,"Panangattūr, Ambur, Tirupattur, Tamil Nadu, India"
T2M,1984,12.75,79.25,22.83,23.59,25.26,29.57,32.02,29.54,27.49,28.46,27.51,25.07,23.77,22.4,26.46,"Vettiyāhtoluvam, Arani, Tiruvannamalai, Tamil Nadu, 632314, India"
T2M,1984,12.75,79.75,23.93,24.49,25.92,29.59,31.59,30.29,28.21,29.08,28.16,26.22,24.99,23.45,27.16,"Walajabad, Kanchipuram, Tamil Nadu, 631603, India"
T2M,1984,13.25,75.25,23.77,25.68,26.46,26.98,27.67,24.08,23.06,22.97,23.34,23.35,23.64,23.04,24.5,"Kudremukha, Kalasa taluk, Chikkamagaluru, Karnataka, India"
T2M,1984,13.25,75.75,21.57,23.5,24.56,25.7,26.67,22.29,21.36,21.32,21.82,21.54,21.31,20.51,22.67,"Tirugana, Chikkamagaluru taluku, Chikkamagaluru, Karnataka, 577174, India"
T2M,1984,13.25,76.25,22.13,23.97,24.6,26.33,27.62,22.5,21.56,21.6,22.18,21.64,21.52,21.01,23.05,"Guttinakere, Arasikere taluku, Hassan, Karnataka, 573122, India"
T2M,1984,13.25,76.75,22.78,24.08,24.69,27.32,28.6,23.47,22.63,22.89,23.44,22.08,21.96,21.58,23.79,"Sampige Road, Yaladabaagi, Turuvekere taluk, Tumakuru, Karnataka, 572215, India"
T2M,1984,13.25,77.25,22.36,23.28,24.31,27.55,28.69,23.89,23.04,23.46,23.75,22.02,21.71,21.16,23.77,"Madhenahalli, Madenahalli, Nelamangala taluk, Bengaluru Rural, Karnataka, 562111, India"
T2M,1984,13.25,77.75,21.65,22.32,23.77,27.55,28.77,24.33,23.31,23.84,23.86,21.96,21.38,20.57,23.61,"Tammenahalli, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
T2M,1984,13.25,78.25,21.3,21.89,23.63,27.76,29.31,25.26,23.95,24.57,24.33,22.27,21.43,20.43,23.85,"Biraganahalli, Srinivasapura taluku, Kolar, Karnataka, India"
T2M,1984,13.25,78.75,21.9,22.65,24.62,28.57,30.35,27.03,25.42,26.2,25.59,23.23,22.24,21.21,24.92,"Gundlapalle, Gangavaram, Chittoor, Andhra Pradesh, 517408, India"
T2M,1984,13.25,79.25,22.57,23.29,25.24,29.6,31.92,29.16,27.09,28.14,27.32,24.69,23.31,21.86,26.19,"MDR, Gangadhara Nellore, Reddipalle, Venkatapuram, Gangadhara Nellore, Chittoor, Andhra Pradesh, 517421, India"
