Location,LAT,LON
,10.25,75.25
,10.25,75.75
"Puthenchira, Mukundapuram, Thrissur, Kerala, 680682, India",10.25,76.25
"Kothamangalam, Ernakulam, Kerala, India",10.25,76.75
"Devikulam, Idukki, Kerala, India",10.25,77.25
"Athoor, Dindigul, Tamil Nadu, 624204, India",10.25,77.75
"Old NH 785, Natham, Dindigul, Tamil Nadu, 624400, India",10.25,78.25
"Trichy - Ramanathapuram Road (Old NH210), Tirumayam, Thirumayam taluk, Pudukkottai, Tamil Nadu, 622507, India",10.25,78.75
"Nayakkathivayal, Regunayagipuram, Peravurani, Thanjavur, Tamil Nadu, 614802, India",10.25,79.25
,10.75,75.25
India,10.75,75.75
"Shoranur, Ottappalam, Palakkad, Kerala, 679121, India",10.75,76.25
"Elappully, Palakkad, Kerala, 678622, India",10.75,76.75
"Madathukulam, Tiruppur, Tamil Nadu, India",10.75,77.25
"Kilankundal, Dharapuram, Tiruppur, Tamil Nadu, 638106, India",10.75,77.75
"Ammapatti, Mamarathupatti, Kadavur, Karur, Tamil Nadu, 621301, India",10.75,78.25
"Cholamanagar, Thiruverumbur, Tiruchirappalli, Tamil Nadu, 620007, India",10.75,78.75
"Melakorukkapattu, Raramuthirakkottai, Papanasam, Thanjavur, Tamil Nadu, 614504, India",10.75,79.25
"Kilvelur, Nagapattinam, Tamil Nadu, 611104, India",10.75,79.75
,11.25,75.25
"Nadakkave, Kozhikode, Kerala, 673006, India",11.25,75.75
"Nilambur, Malappuram, Kerala, 679329, India",11.25,76.25
"Athikadavu, Mettupalayam, Coimbatore, Tamil Nadu, India",11.25,76.75
"Sevur, Avanashi, Tiruppur, Tamil Nadu, India",11.25,77.25
"Kulur, Modakkurichi, Erode, Tamil Nadu, 638104, India",11.25,77.75
"Thottiyar Street, Puthukombai, Sendamangalam, Namakkal, Tamil Nadu, 637409, India",11.25,78.25
"Ladapuram, Perambalur, Tamil Nadu, 621101, India",11.25,78.75
"Rajapalayam, Veerakkan, Sendurai, Ariyalur, Tamil Nadu, 621710, India",11.25,79.25
"Sirkali - Thirumullaivasal - Koolaiyar Road, Idaimanal, Sirkali, Mayiladuthurai, Tamil Nadu, 609115, India",11.25,79.75
India,11.75,75.25
"Vadakara, Kozhikode, Kerala, 673515, India",11.75,75.75
"Sulthanbathery, Wayanad, Kerala, India",11.75,76.25
"Kodasoge, Gundlupet taluk, Chamarajanagar, Karnataka, India",11.75,76.75
"Thalavadi, Erode, Tamil Nadu, 638461, India",11.75,77.25
"Mettur, Salem, Tamil Nadu, India",11.75,77.75
"Yercaud, Salem, Tamil Nadu, 636600, India",11.75,78.25
"Sankarapuram, Kallakurichi, Tamil Nadu, India",11.75,78.75
"Ulundurpettai, Kallakurichi, Tamil Nadu, 606107, India",11.75,79.25
"Bodi Chetti Street, Thiruppapuliyur, Cuddalore, Tamil Nadu, 607002, India",11.75,79.75
"Hosdurg, Kasaragod, Kerala, India",12.25,75.25
"Bellumadu, Virajpet taluk, Kodagu, Karnataka, India",12.25,75.75
"Lakshmipura, Hunasuru taluk, Mysuru, Karnataka, India",12.25,76.25
"SH84A, Maradihundi, Hosakote Mole, Mysuru taluk, Mysuru, Karnataka, 571302, India",12.25,76.75
"Hanur taluk, Chamarajanagar, Karnataka, India",12.25,77.25
"Natrampalayam, Anchetty, Krishnagiri, Tamil Nadu, India",12.25,77.75
"Karimangalam, Dharmapuri, Tamil Nadu, India",12.25,78.25
"Chengam, Tiruvannamalai, Tamil Nadu, 606703, India",12.25,78.75
"Gingee, Viluppuram, Tamil Nadu, India",12.25,79.25
"Tindivanam, Viluppuram, Tamil Nadu, 604305, India",12.25,79.75
"Putturu taluk, Dakshina Kannada, Karnataka, 574200, India",12.75,75.25
"Maragatturu, Sakaleshapura taluk, Hassan, Karnataka, 573123, India",12.75,75.75
"Mallenahalli, Hole Narasipura taluk, Hassan, Karnataka, India",12.75,76.25
"Chagatahalli, Mannahalli, Nagamangala taluk, Mandya, Karnataka, 571416, India",12.75,76.75
"Kurubarahalli, Ramanagara taluk, Ramanagara, Karnataka, 562159, India",12.75,77.25
"Mayasandra, Anekal, Bengaluru Urban, Karnataka, 562107, India",12.75,77.75
"Peddaparthikunta, Gudipalli, Chittoor, Andhra Pradesh, 517425, India",12.75,78.25
"Panangattūr, Ambur, Tirupattur, Tamil Nadu, India",12.75,78.75
"Vettiyāhtoluvam, Arani, Tiruvannamalai, Tamil Nadu, 632314, India",12.75,79.25
"Walajabad, Kanchipuram, Tamil Nadu, 631603, India",12.75,79.75
"Kudremukha, Kalasa taluk, Chikkamagaluru, Karnataka, India",13.25,75.25
"Tirugana, Chikkamagaluru taluku, Chikkamagaluru, Karnataka, 577174, India",13.25,75.75
"Guttinakere, Arasikere taluku, Hassan, Karnataka, 573122, India",13.25,76.25
"Sampige Road, Yaladabaagi, Turuvekere taluk, Tumakuru, Karnataka, 572215, India",13.25,76.75
"Madhenahalli, Madenahalli, Nelamangala taluk, Bengaluru Rural, Karnataka, 562111, India",13.25,77.25
"Tammenahalli, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India",13.25,77.75
"Biraganahalli, Srinivasapura taluku, Kolar, Karnataka, India",13.25,78.25
"Gundlapalle, Gangavaram, Chittoor, Andhra Pradesh, 517408, India",13.25,78.75
"MDR, Gangadhara Nellore, Reddipalle, Venkatapuram, Gangadhara Nellore, Chittoor, Andhra Pradesh, 517421, India",13.25,79.25
"Mallareddikandriga, Vijayapuram, Chittoor, Andhra Pradesh, 631204, India",13.25,79.75
"Hodla, Tirthahalli taluk, Shimoga, Karnataka, India",13.75,75.25
"Hurulihalli, Tarikere taluku, Chikkamagaluru, Karnataka, India",13.75,75.75
"Bokikere, Hosadurga taluku, Chitradurga, Karnataka, India",13.75,76.25
"Yaradakatte, Hunasekatte, Sira taluk, Tumakuru, Karnataka, 572115, India",13.75,76.75
